Row Number,NearableID,Major,Minor,RSSI,Current Time,Application state,IdleBatteryVoltage,StressBatteryVoltage,Ratio,Event Type,Power,Adv Interval,HardwareVersion,FirmwareVersion,Is Moving
1,(null),(null),(null),(null),2017-10-03 12:56:19,(null),(null),(null),nan,Created proximity beacon region,(null),(null),(null),(null),0
2,(null),(null),(null),(null),2017-10-03 12:56:19,(null),(null),(null),nan,Started monitoring on beacon region,(null),(null),(null),(null),0
3,(null),(null),(null),(null),2017-10-03 12:56:19,FG,(null),(null),nan,Token in didRegisterForRemoteNotificationsWithDeviceToken : <3f88b6b1 c69786bf 4f5ecc9a 6a73594a 7e8d67f8 a109b949 ca759caa 5f4094d0>,(null),(null),(null),(null),0
4,(null),(null),(null),(null),2017-10-03 12:57:22,FG,(null),(null),nan,Created proximity beacon region,(null),(null),(null),(null),0
5,(null),(null),(null),(null),2017-10-03 12:57:22,FG,(null),(null),nan,Started monitoring on beacon region,(null),(null),(null),(null),0
6,(null),(null),(null),(null),2017-10-03 12:59:41,TERMINATED,(null),(null),nan,Created proximity beacon region,(null),(null),(null),(null),0
7,(null),(null),(null),(null),2017-10-03 12:59:41,TERMINATED,(null),(null),nan,Started monitoring on beacon region,(null),(null),(null),(null),0
8,(null),(null),(null),(null),2017-10-03 12:59:42,TERMINATED,(null),(null),nan,Started ranging on beacon region,(null),(null),(null),(null),0
9,(null),(null),(null),(null),2017-10-03 12:59:42,TERMINATED,(null),(null),nan,Started ranging for stickers,(null),(null),(null),(null),0
10,B9407F30-F5F8-466E-AFF9-25556B57FE6D,(null),(null),(null),2017-10-03 12:59:42,TERMINATED,(null),(null),nan,APPLE BEACON ENTER,(null),(null),(null),(null),0
11,(null),(null),(null),(null),2017-10-03 12:59:42,TERMINATED,(null),(null),nan,Token in didRegisterForRemoteNotificationsWithDeviceToken : <3f88b6b1 c69786bf 4f5ecc9a 6a73594a 7e8d67f8 a109b949 ca759caa 5f4094d0>,(null),(null),(null),(null),0
12,B9407F30-F5F8-466E-AFF9-25556B57FE6D,10009,53709,-64,2017-10-03 12:59:43,TERMINATED,(null),(null),nan,Proximity beacon ranging callback,(null),(null),(null),(null),0
13,(null),10009,53709,(null),2017-10-03 12:59:43,TERMINATED,(null),(null),nan,Download stickers request sent,(null),(null),(null),(null),0
14,(null),10009,53709,(null),2017-10-03 12:59:43,TERMINATED,(null),(null),nan,https://applause-qa.appspot.com/api/v1/beacon/all/status/?locationBeacon=10009-53709,(null),(null),(null),(null),0
15,(null),(null),(null),(null),2017-10-03 12:59:43,TERMINATED,(null),(null),nan,Stop Ranging for beacons in region,(null),(null),(null),(null),0
16,(null),(null),(null),(null),2017-10-03 12:59:43,TERMINATED,(null),(null),nan,Started monitoring for 9e33ae27763095ad,(null),(null),(null),(null),0
17,(null),(null),(null),(null),2017-10-03 12:59:43,TERMINATED,(null),(null),nan,Started monitoring for b9feb77ac7c77d3a,(null),(null),(null),(null),0
18,(null),(null),(null),(null),2017-10-03 12:59:43,TERMINATED,(null),(null),nan,Started monitoring for 9f5a3aa518a6d021,(null),(null),(null),(null),0
